file,Y_p50,Y_p99,spread_p99_p50,pct_dark_V_lt_035,pct_white_240,sat_lit_pct,sat_dark_pct,hue_top2_pct,hue_dominant_deg,halo_r_half_pct,halo_r_tenth_pct,halo_n_emitters,black_hex,shadow_hex
ps_53875.jpg,0.0154,0.5988,38.8,88.17,0.016,38.4,53.7,38.5,0,1.112,3.149,8,#0a0a03,#1a221d
ps_53876.jpg,0.0474,1.0,21.1,58.23,4.449,55.7,69.3,68.3,0,3.335,,8,#040906,#102725
ps_53877.jpg,0.0114,0.8988,78.8,86.57,0.41,53.6,58.5,75.6,150,0.667,2.889,8,#030706,#102323
ps_53878.jpg,0.0161,0.9395,58.5,82.96,0.289,52.0,75.6,54.4,150,1.112,6.114,8,#020a08,#0b2523
ps_53879.jpg,0.0724,0.9854,13.6,37.35,6.916,65.0,87.6,79.2,180,0.556,0.926,8,#010a08,#05172a
ps_53881.jpg,0.0707,0.9603,13.6,49.04,0.924,67.0,83.1,73.6,150,0.741,1.853,8,#02080a,#072423
ps_53882.jpg,0.056,1.0,17.9,49.18,14.958,30.3,42.5,73.1,330,0.741,4.817,8,#08080b,#1b1923
ps_53883.jpg,0.0294,0.9813,33.3,64.91,1.715,45.0,86.7,62.0,0,0.371,1.482,8,#010d07,#082322
ps_53884.jpg,0.0101,0.9138,90.2,85.79,0.575,37.6,44.4,60.8,90,2.408,5.743,8,#030604,#1c2521
ps_53885.jpg,0.0152,0.7689,50.6,83.31,0.095,61.7,84.2,35.9,150,0.371,1.482,8,#010904,#092226
ps_53886.jpg,0.0269,0.7396,27.5,79.52,0.049,47.3,61.5,42.8,180,0.371,0.926,8,#030a04,#112526
ps_53887.jpg,0.0576,1.0,17.4,57.25,5.332,44.8,83.0,47.5,150,2.408,8.151,8,#02060a,#082324
ps_53888.jpg,0.0064,0.9685,150.3,87.08,1.03,44.2,41.9,50.8,90,1.482,4.261,8,#040605,#1b2423
ps_53889.jpg,0.0272,0.8675,31.9,63.42,0.223,65.4,88.6,60.3,150,0.741,2.964,8,#00090a,#051c28
ps_53890.jpg,0.034,1.0,29.4,61.34,13.285,20.3,62.1,65.1,0,0.556,5.743,8,#040b05,#142619
ps_53891.jpg,0.0159,0.84,52.8,79.8,0.116,64.8,75.4,64.7,180,0.556,3.705,8,#080b02,#0a261d
ps_53892.jpg,0.009,0.6587,72.9,80.49,0.011,58.6,55.4,68.8,0,0.371,2.038,8,#050704,#201b15
ps_53893.jpg,0.0224,0.9616,42.9,67.69,0.954,60.7,87.3,74.6,150,0.556,4.076,8,#000d06,#062324
ps_53894.jpg,0.0334,1.0,30.0,56.0,5.097,45.7,59.2,50.4,150,1.112,5.187,8,#040703,#162319
ps_53895.jpg,0.0335,0.9826,29.3,56.15,1.608,65.0,90.3,68.4,150,0.741,2.594,8,#00090b,#051c28
ps_53896.jpg,0.0264,0.5067,19.2,83.85,0.064,41.5,63.1,57.6,150,0.185,0.926,8,#030b05,#112628
hm_level2_3.png,0.0532,1.0,18.8,44.86,8.711,64.7,79.1,90.2,180,1.111,4.444,8,#030705,#071e26
hm_level3_1.png,0.0223,0.6981,31.2,73.41,0.129,66.5,85.1,72.4,180,0.889,2.444,8,#020b08,#062326
hm_level4_5.png,0.0387,1.0,25.8,63.0,3.758,55.7,70.9,48.8,210,1.111,4.667,8,#070c03,#0a2720
hm_level5_5.png,0.0302,0.9936,32.9,56.71,1.755,63.2,65.5,58.4,330,1.111,6.222,8,#0b0906,#280e23
hm_protector.png,0.0484,0.7474,15.4,60.53,0.036,56.0,67.0,37.2,0,0.667,3.778,8,#040d09,#102526
